text,intent,response
How can AI help improve my sales?,ai_advice,"AI can boost sales by predicting customer churn, personalising offers, and optimising pricing. Curify's AI Advisor does all three. Want me to show you a demo scenario?"
AI use panni business profit increase pannalam?,ai_advice,"Definitely! AI-a use panni: customer behavior predict pannalam, personalized offers kudukkalaam, inventory optimize pannalam. Curify Advisor unakku specific recommendations tharum. Business type sollunga!"
What machine learning models does Curify use?,ai_advice,"Curify uses a combination of LightGBM for classification, LSTM for time-series forecasting, and transformer-based NLP for text analytics. All models are fine-tuned on your domain data."
Can Curify predict customer churn?,ai_advice,"Yes! Our churn prediction model achieves 89% accuracy on average. It analyses purchase frequency, support tickets, and engagement scores to flag at-risk customers 30 days in advance."
I can't log in to my account.,account_support,"I'm sorry you're locked out! Please try: (1) Reset password via 'Forgot Password', (2) Check if caps lock is on. If still stuck, share your registered email and I'll manually verify your account."
My password reset email is not coming.,account_support,"Password reset emails sometimes land in spam — please check there first. Still not there? I'll manually trigger a reset link to your registered email. What's your email address?"
Account delete panna mudiyuma?,account_support,"Account delete pannanum na Settings → Profile → Delete Account la request pannalaam. Oru confirmation email varum. Note: All data permanently deleted. Backup download panna oru option irukku."
I need to update my billing email address.,account_support,"To update your billing email: Settings → Billing → Edit Email. If you encounter issues, share your current and new email and I'll update it manually on our end."
My two-factor authentication is not working.,account_support,"2FA issues can be tricky! Try: (1) Sync your authenticator app time, (2) Use a backup code from your saved list. Still stuck? I'll disable 2FA temporarily so you can regain access."
Bye! Thanks for the help.,general_farewell,"You're welcome! Thank you for choosing Curify AI Advisor. Have a wonderful day! 😊 Feel free to return anytime."
Goodbye! That was very helpful.,general_farewell,"So glad I could help! Goodbye! Remember, Curify support is available 24/7 whenever you need us. Take care! 🙏"
Thanks, talk later!,general_farewell,"Absolutely! Talk later. Your issue has been noted and our team will follow up if needed. Stay awesome! 👋"
Nandri! Mela pesalam.,general_farewell,"Nandri! Ungalukku help panna mudindhadhu santhosham. Yeppodhum vaanga, Curify always ready! 🌟"
Ok that's all I needed. Thank you!,general_farewell,"Happy to help! All the best. If you think of more questions later, just ping us — we're always here. Bye for now! 😊"
I want to talk to a real person.,escalate_human,"Of course! Connecting you to a live support agent now. Please hold for approximately 2–3 minutes. Your conversation history has been shared with the agent for context."
Can I speak with a human agent please?,escalate_human,"Absolutely! I'm transferring you to our human support team. They're available Mon–Sat, 9 AM–7 PM IST. Current estimated wait time: ~3 minutes."
Manushya se baat karni hai.,escalate_human,"Zaroor! Aapko abhi ek live agent se connect kar raha hoon. Wait time approximately 2–3 minutes hai. Aapka conversation history agent ko share kar diya gaya hai."
Enna chatbot pesaraan, aalunga koopdunga.,escalate_human,"Sorry for the inconvenience! Unakku oru human support agent-a connect pannren. Wait time: 2–3 minutes. Neengal pesina vishayam-ellaam agent-kitta already share pannirukken."
This bot can't solve my problem. Get me a manager.,escalate_human,"I understand your frustration and I sincerely apologise. I'm escalating this directly to a senior support manager now. They will contact you within 1 hour via your registered email or phone."
